id,type,unit,name,desc
E117,Fixed Addr,multiplier,Map Ratio (Alternate)*,E117-The ratio used to determine the portion of specific Alternate multiple maps which are combined to determine the target value.
E118,Fixed Addr,degrees,Knock Correction Advance Max Primary*,E118-Knock Correction Advance Max Primary
E119,Fixed Addr,degrees,Knock Correction Advance Additive*,E119-Knock Correction Advance Additive
E121,Fixed Addr,estimated AFR,Closed Loop Fueling Target (4-byte)*,E121-This is the closed loop fueling lambda target which is used in determining short-term corrections (A/F Correction #1).
E123,Fixed Addr,lambda,Final Fueling Base (4-byte)*,E123-This is the final fueling multiplier after corrections are applied but before per injector compensation.
P2,Standard,C,Coolant Temperature,P2
P3,Standard,%,A/F Correction #1,P3
P4,Standard,%,A/F Learning #1,P4
P7,Standard,kPa,Manifold Absolute Pressure,P7-Pressure value calculated from the manifold absolute pressure sensor (absolute value)
P8,Standard,rpm,Engine Speed,P8
P9,Standard,km/h,Vehicle Speed,P9
P10,Standard,degrees,Ignition Total Timing,P10
P11,Standard,C,Intake Air Temperature,P11
P12,Standard,g/s,Mass Airflow,P12
P13,Standard,%,Throttle Opening Angle,P13-Engine throttle opening angle.
P15,Standard,V,Rear O2 Sensor,P15
P17,Standard,V,Battery Voltage,P17
P18,Standard,V,Mass Airflow Sensor Voltage,P18
P21,Standard,ms,Fuel Injector #1 Pulse Width,P21-This parameter includes injector latency.
P23,Standard,degrees,Knock Correction Advance,P23-Retard amount when knocking has occurred. Partial learned value of the learned ignition timing.
P24,Standard,kPa,Atmospheric Pressure,P24
P25,Standard,kPa,Manifold Relative Pressure,P25-Manifold Absolute Pressure [P7] minus current Atmospheric Pressure [P24].
P27,Standard,kPa,Fuel Tank Pressure,P27
P30,Standard,%,Accelerator Pedal Angle,P30-Accelerator pedal angle.
P31,Standard,C,Fuel Temperature,P31
P35,Standard,V,Fuel Level,P35
P36,Standard,%,Primary Wastegate Duty Cycle,P36-Trubo Control Valve Duty Cycle
P38,Standard,%,CPC Valve Duty Ratio,P38
P39,Standard,V,Tumble Valve Position Sensor Right,P39
P40,Standard,V,Tumble Valve Position Sensor Left,P40
P47,Standard,%,Fuel Pump Duty,P47
P48,Standard,degrees,Intake VVT Advance Angle Right,P48
P49,Standard,degrees,Intake VVT Advance Angle Left,P49
P50,Standard,%,Intake OCV Duty Right,P50
P51,Standard,%,Intake OCV Duty Left,P51
P52,Standard,mA,Intake OCV Current Right,P52
P53,Standard,mA,Intake OCV Current Left,P53
P54,Standard,mA,A/F Sensor #1 Current,P54
P56,Standard,ohm,A/F Sensor #1 Resistance,P56
P58,Standard,Lambda,A/F Sensor #1,P58
P63,Standard,misfire count,Roughness Monitor Cylinder #1,P63
P64,Standard,misfire count,Roughness Monitor Cylinder #2,P64
P65,Standard,%,A/F Correction #3 (16-bit ECU),P65
P69,Standard,misfire count,Roughness Monitor Cylinder #3,P69
P70,Standard,misfire count,Roughness Monitor Cylinder #4,P70
P71,Standard,%,Throttle Motor Duty,P71
P72,Standard,V,Throttle Motor Voltage,P72
P73,Standard,V,Sub Throttle Sensor,P73
P74,Standard,V,Main Throttle Sensor,P74
P75,Standard,V,Sub Accelerator Sensor,P75
P76,Standard,V,Main Accelerator Sensor,P76
P82,Standard,km/h,Memorised Cruise Speed,P82
P89,Standard,%,A/F Correction #3 (32-bit ECU),P89
P120,Standard,km,Estimated odometer,P120-Estimated odometer - increments every 2km
P200,Calculated,g/rev,Engine Load (Calculated),P200-Engine load as calculated from MAF and RPM.
P201,Calculated,%,Injector Duty Cycle,P201-IDC as calculated from RPM and injector PW.
P202,Calculated,bar,Manifold Relative Pressure (Corrected),P202-Difference between Manifold Absolute Pressure and Atmospheric Pressure.
P203,Calculated,l/100km,Fuel Consumption (Est.),"P203-Estimated fuel consumption based on MAF, AFR and vehicle speed."
P239,Standard,degrees,Global Timing User Adjustment Value,P239-This is the fixed amount of timing removed globally - set by the user
P240,Standard,rpm,Engine Idle Speed User Adjustment (A/C off),P240-This is the fixed amount of idle speed adjustmnet while the A/C is off - set by the user
P241,Standard,rpm,Engine Idle Speed User Adjustment (A/C on),P241-This is the fixed amount of idle speed adjustmnet while the A/C is on - set by the user
S1,Switch,,AT Vehicle ID,S1
S2,Switch,,Test Mode Signal,S2
S4,Switch,,Neutral Position Switch,S4
S5,Switch,,Idle Switch,S5
S7,Switch,,Ignition Switch,S7
S8,Switch,,Power Steering Switch,S8
S9,Switch,,Air Conditioning Switch,S9
S11,Switch,,Starter Switch,S11
S13,Switch,,Rear O2 Sensor Rich Signal,S13
S15,Switch,,Knocking Signal #1,S15
S18,Switch,,Crankshaft Position Signal,S18
S19,Switch,,Camshaft Position Signal,S19
S20,Switch,,Rear Defogger Switch,S20
S21,Switch,,Blower Fan Switch,S21
S22,Switch,,Light Switch,S22
S26,Switch,,Air Conditioning Compressor Signal,S26
S28,Switch,,Radiator Fan Relay #1,S28
S29,Switch,,Radiator Fan Relay #2,S29
S33,Switch,,Blow-By Leak Connector,S33
S34,Switch,,Positive Crankcase Ventilation (PCV) Solenoid Valve,S34
S35,Switch,,Tumble Generator Valve (TGV) Output,S35
S36,Switch,,Tumble Generator Valve (TGV) Drive,S36
S39,Switch,,Ventilation Solenoid Valve,S39
S42,Switch,,Tank Sensor Control Valve,S42
S62,Switch,,Electronic Throttle Control (ETC) Motor Relay,S62
S63,Switch,,Clutch Switch,S63
S64,Switch,,Stop Light Switch,S64
S65,Switch,,Cruise Control Set/Coast Switch,S65
S66,Switch,,Cruise Control Resume/Accelerate Switch,S66
S67,Switch,,Brake Switch,S67
S68,Switch,,Cruise Control Main Toggle Switch,S68
S133,Switch,,Cruise Control System Status,S133
S157,Switch,,Oil Level Switch,S157
